image,per_frame_SI,grade,segment_aggregated_SI,segment_grade
China_Drone_000000.jpg,0.05864,Critical,0.05864,Critical
China_Drone_000004.jpg,0.0738,Critical,0.06318,Critical
China_Drone_000006.jpg,0.00834,Fair,0.04673,Poor
China_Drone_000007.jpg,0.02509,Poor,0.04024,Poor
China_Drone_000013.jpg,0.0,Good,0.02817,Poor
China_Drone_000023.jpg,0.43465,Critical,0.15011,Critical
China_Drone_000033.jpg,0.0,Good,0.10508,Critical
China_Drone_000034.jpg,0.05037,Critical,0.08867,Critical
China_Drone_000046.jpg,0.00075,Good,0.06229,Critical
China_Drone_000061.jpg,0.01845,Fair,0.04914,Poor
China_Drone_000063.jpg,0.0,Good,0.0344,Poor
China_Drone_000069.jpg,0.23017,Critical,0.09313,Critical
China_Drone_000070.jpg,0.05714,Critical,0.08233,Critical
China_Drone_000083.jpg,0.03631,Poor,0.06852,Critical
China_Drone_000086.jpg,0.00729,Fair,0.05015,Critical
China_Drone_000089.jpg,0.09838,Critical,0.06462,Critical
China_Drone_000090.jpg,0.02274,Poor,0.05206,Critical
China_Drone_000100.jpg,0.01578,Fair,0.04117,Poor
China_Drone_000130.jpg,0.04445,Poor,0.04216,Poor
China_Drone_000139.jpg,0.01959,Fair,0.03539,Poor
China_Drone_000142.jpg,0.12058,Critical,0.06094,Critical
China_Drone_000144.jpg,0.00391,Good,0.04384,Poor
China_Drone_000156.jpg,0.14564,Critical,0.07438,Critical
China_Drone_000165.jpg,0.00811,Fair,0.0545,Critical
China_Drone_000173.jpg,0.05969,Critical,0.05606,Critical
China_Drone_000196.jpg,0.01079,Fair,0.04248,Poor
China_Drone_000198.jpg,0.0,Good,0.02973,Poor
China_Drone_000200.jpg,0.01745,Fair,0.02605,Poor
China_Drone_000210.jpg,0.0257,Poor,0.02594,Poor
China_Drone_000242.jpg,0.11084,Critical,0.05141,Critical
China_Drone_000248.jpg,0.02929,Poor,0.04478,Poor
China_Drone_000250.jpg,0.36101,Critical,0.13965,Critical
China_Drone_000251.jpg,0.09475,Critical,0.12618,Critical
China_Drone_000252.jpg,0.31367,Critical,0.18243,Critical
China_Drone_000257.jpg,0.02208,Poor,0.13432,Critical
China_Drone_000261.jpg,0.00789,Fair,0.0964,Critical
China_Drone_000267.jpg,0.00202,Good,0.06808,Critical
China_Drone_000274.jpg,0.18624,Critical,0.10353,Critical
China_Drone_000279.jpg,0.0,Good,0.07247,Critical
China_Drone_000280.jpg,0.0,Good,0.05073,Critical
China_Drone_000292.jpg,0.0,Good,0.03551,Poor
China_Drone_000298.jpg,0.01243,Fair,0.02859,Poor
China_Drone_000304.jpg,0.01822,Fair,0.02548,Poor
China_Drone_000308.jpg,0.03652,Poor,0.02879,Poor
China_Drone_000310.jpg,0.0065,Fair,0.0221,Poor
China_Drone_000312.jpg,0.07002,Critical,0.03648,Poor
China_Drone_000313.jpg,0.01906,Fair,0.03125,Poor
China_Drone_000342.jpg,0.00416,Good,0.02312,Poor
China_Drone_000345.jpg,0.08429,Critical,0.04148,Poor
China_Drone_000369.jpg,0.0067,Fair,0.03104,Poor
China_Drone_000374.jpg,0.01066,Fair,0.02493,Poor
China_Drone_000376.jpg,0.01711,Fair,0.02258,Poor
China_Drone_000377.jpg,0.09874,Critical,0.04543,Poor
China_Drone_000387.jpg,0.05139,Critical,0.04722,Poor
China_Drone_000388.jpg,0.00071,Good,0.03327,Poor
China_Drone_000396.jpg,0.22242,Critical,0.09001,Critical
China_Drone_000397.jpg,0.68061,Critical,0.26719,Critical
China_Drone_000399.jpg,0.00429,Good,0.18832,Critical
China_Drone_000428.jpg,0.0,Good,0.13183,Critical
